0,70,147,328,453,447,394,318,154,155,297,628,563,561,567,460,523,540,820,876,110
0,0,77,258,383,593,412,336,172,225,367,698,632,630,636,520,593,610,893,946,128
0,0,0,276,401,483,430,354,190,302,444,775,709,707,713,596,669,686,970,1000,146
0,0,0,0,125,540,549,472,308,433,575,905,840,838,844,727,800,817,1100,1200,264
0,0,0,0,0,544,591,594,544,550,692,1000,957,955,961,845,917,934,1200,1300,337
0,0,0,0,0,0,94,139,204,535,677,1000,943,941,947,830,903,920,1200,1300,337
0,0,0,0,0,0,0,86,151,482,642,955,890,888,894,777,850,867,1100,1200,284
0,0,0,0,0,0,0,0,130,406,548,878,813,811,817,700,773,790,1100,1200,208
0,0,0,0,0,0,0,0,0,242,383,714,649,647,653,536,609,626,907,962,44
0,0,0,0,0,0,0,0,0,0,217,548,483,481,487,370,443,460,742,796,198
0,0,0,0,0,0,0,0,0,0,0,447,382,380,386,269,342,359,649,695,340
0,0,0,0,0,0,0,0,0,0,0,0,65,117,236,270,342,345,628,681,670
0,0,0,0,0,0,0,0,0,0,0,0,0,29,156,172,245,262,549,598,574
0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,200,73,199,483,535,603
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,238,109,395,445,614
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,181,471,517,497
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,492,542,565
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,418,582
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,844
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
